Age,Tenure,NumOfProducts,HasCrCard,IsActiveMember,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male
35,7,1,1,0,False,False,True,False,True
34,7,2,1,0,False,False,True,True,False
31,9,2,1,0,True,False,False,False,True
73,8,2,1,1,True,False,False,True,False
29,4,2,1,0,True,False,False,False,True
40,7,1,1,0,True,False,False,True,False
43,1,1,1,1,True,False,False,False,True
34,1,1,1,0,True,False,False,False,True
61,0,2,1,1,False,False,True,False,True
40,1,1,1,1,True,False,False,False,True
34,7,2,0,1,True,False,False,False,True
39,5,2,0,0,False,False,True,True,False
22,9,1,1,0,True,False,False,False,True
47,9,1,1,0,False,True,False,True,False
47,2,1,0,0,True,False,False,True,False
41,0,1,1,0,True,False,False,False,True
24,8,2,1,0,False,False,True,False,True
43,6,2,1,0,True,False,False,True,False
45,2,1,1,1,True,False,False,False,True
53,1,1,1,1,False,False,True,True,False
35,2,1,1,0,True,False,False,False,True
37,1,2,0,0,False,False,True,True,False
29,3,1,0,0,True,False,False,False,True
48,8,2,0,0,True,False,False,True,False
43,3,2,0,1,True,False,False,False,True
33,5,2,0,0,True,False,False,True,False
29,10,1,1,1,False,False,True,True,False
25,3,1,0,0,True,False,False,True,False
24,8,1,1,1,False,False,True,False,True
41,9,1,0,1,False,False,True,False,True
30,7,1,0,0,True,False,False,False,True
47,5,1,1,0,True,False,False,True,False
61,8,2,0,1,False,False,True,True,False
36,4,2,1,1,True,False,False,False,True
37,2,2,0,1,False,False,True,False,True
66,7,1,0,1,True,False,False,False,True
35,9,2,1,0,True,False,False,False,True
66,7,1,1,1,True,False,False,True,False
28,4,1,1,0,True,False,False,False,True
52,7,1,1,0,False,False,True,True,False
35,4,2,0,0,False,False,True,False,True
35,6,2,1,0,True,False,False,False,True
33,2,2,1,0,True,False,False,False,True
46,8,1,1,0,False,False,True,False,True
61,7,1,1,1,False,False,True,False,True
30,9,2,1,0,True,False,False,True,False
27,4,1,1,1,False,False,True,False,True
25,7,1,1,0,False,True,False,True,False
36,4,2,1,0,False,True,False,False,True
36,6,1,0,0,False,True,False,False,True
32,9,1,1,0,True,False,False,False,True
42,6,2,0,0,False,True,False,True,False
71,10,1,1,0,False,False,True,False,True
41,7,2,0,0,False,False,True,True,False
33,5,2,0,0,False,True,False,False,True
37,2,1,1,1,False,True,False,True,False
36,9,1,0,1,False,False,True,False,True
33,4,2,0,1,True,False,False,True,False
45,3,1,1,0,True,False,False,True,False
74,5,2,1,1,False,True,False,False,True
31,10,2,1,0,True,False,False,True,False
40,3,2,1,0,False,True,False,True,False
41,3,1,1,1,True,False,False,True,False
32,1,2,1,0,True,False,False,True,False
39,8,1,1,0,False,False,True,False,True
23,2,2,1,0,True,False,False,False,True
33,9,1,1,0,True,False,False,False,True
34,8,2,1,0,True,False,False,False,True
40,3,1,1,1,False,True,False,True,False
29,9,1,1,1,True,False,False,True,False
33,7,1,0,1,False,False,True,False,True
28,1,2,1,1,True,False,False,True,False
33,9,2,1,0,True,False,False,True,False
31,7,3,1,1,True,False,False,False,True
78,6,1,1,1,True,False,False,True,False
32,8,2,1,0,True,False,False,False,True
36,6,2,1,0,True,False,False,False,True
45,7,1,1,0,True,False,False,True,False
43,7,1,1,1,False,False,True,False,True
40,8,2,1,0,False,False,True,True,False
37,2,1,0,0,True,False,False,False,True
40,2,2,1,1,True,False,False,False,True
40,10,2,1,1,False,False,True,False,True
46,2,2,1,1,False,False,True,False,True
33,3,1,1,1,True,False,False,False,True
40,4,2,0,1,False,True,False,False,True
41,6,2,1,0,False,True,False,False,True
36,6,1,0,1,True,False,False,True,False
39,6,2,1,0,True,False,False,False,True
23,8,2,1,1,True,False,False,False,True
35,2,1,1,0,False,False,True,False,True
36,0,1,1,1,True,False,False,True,False
38,2,2,1,0,True,False,False,False,True
35,9,2,1,1,True,False,False,False,True
42,10,1,1,0,True,False,False,False,True
77,2,1,1,1,False,False,True,False,True
27,3,2,1,0,False,False,True,True,False
29,0,1,1,0,True,False,False,True,False
31,2,2,0,1,True,False,False,False,True
60,6,2,1,1,True,False,False,False,True
25,6,2,1,1,False,False,True,False,True
29,3,1,1,0,True,False,False,True,False
40,4,1,1,0,False,False,True,False,True
26,3,2,1,0,True,False,False,False,True
63,8,2,0,1,True,False,False,False,True
55,9,1,0,1,True,False,False,False,True
28,1,1,0,0,False,False,True,False,True
38,10,2,1,0,False,False,True,True,False
43,1,1,0,1,True,False,False,True,False
